t,thetaNoisy,omegaNoisy,thetaDot,omegaDot,F_data,F_true
0,0.00130021628315766,6.24150451698263,6.15092896278016,-6.69643439752751,-6.68702849487395,-5.13143069716392
0.050125313283208,0.308347257742424,5.91170643747974,5.92156543927936,-7.68680940335275,-4.70094839774929,-4.6766631641095
0.100250626566416,0.595358912870078,5.4682432596322,5.44052742040431,-9.42131015038671,-3.92597380594359,-4.09659073439478
0.150375939849624,0.854114235499802,4.95771498959849,4.8893435752135,-10.6667704324478,-3.26641071097312,-3.45688293158063
0.200501253132832,1.0886623114138,4.41447372790071,4.34641172172847,-11.3855312370567,-2.7116179097277,-2.81781058154817
0.25062656641604,1.28884307906221,3.81088485968778,3.84675304633877,-11.5914224249448,-2.16448180032292,-2.22249493691322
0.300751879699248,1.46167930268894,3.23503326587515,3.2468532825601,-11.4801329185419,-1.71953233608039,-1.69604322122066
0.350877192982456,1.62642839200152,2.67011334315301,2.57533496401513,-11.0338737313519,-1.23386017588976,-1.2488187112225
0.401002506265664,1.7379909306737,2.13738436386046,2.06519371175987,-10.4707493297701,-0.782605780397128,-0.880536485947575
0.451127819548872,1.80837216001685,1.60762787340466,1.63005446096227,-10.0598818697099,-0.560121796843022,-0.584102252787739
0.50125313283208,1.88149060513221,1.13756253668131,1.20411594897692,-9.69545747366856,-0.387152972961731,-0.350377996903703
0.551378446115288,1.96321734637591,0.648626381346341,0.816406028900355,-9.37303206631844,-0.237140794613486,-0.171382259365918
0.601503759398496,1.96946834054611,0.178073553874512,0.286180382178229,-9.21161142938513,-0.187659845702148,-0.0406799430438784
0.651629072681704,1.96883500124962,-0.270796873361457,-0.320923676658522,-9.13451616470907,-0.104900101911589,0.0463394392894646
0.701754385964912,1.94339875616158,-0.725833573832185,-0.791912257049972,-9.13356996155956,0.00947999333750538,0.0921299804348382
0.75187969924812,1.89297219872868,-1.19104097257092,-1.18235625682601,-9.23224874379743,0.0730138028571972,0.096914141117054
0.802005012531328,1.82251639505028,-1.6566167730092,-1.6195469633373,-9.36005803927775,0.139278143369078,0.0586904477064238
0.852130325814536,1.7246054820186,-2.1348445888356,-2.1768566190198,-9.64309826481679,0.0418897552873094,-0.0263118224244663
0.902255639097744,1.61763127109732,-2.60260925448269,-2.67934777397453,-9.89593159459612,-0.0916361074117766,-0.161999831963983
0.952380952380952,1.46136447655713,-3.12199851902173,-3.10741287027267,-10.0498228735314,-0.297818577611958,-0.350600702954599
