t,thetaNoisy,omegaNoisy,thetaDot,omegaDot
0,-0.00915281235473184,6.22403151768947,6.40987708231992,-1.54807945399311
0.050125313283208,0.334742174032769,6.1490136774861,6.26487857013886,-2.96373520384418
0.100250626566416,0.616728688098905,5.92476797477754,5.94372993828927,-5.50944214135729
0.150375939849624,0.905985937567237,5.59478084678733,5.52469976526142,-7.4950294835938
0.200501253132832,1.18472155013013,5.17959535356497,5.12127216851169,-8.90538311870631
0.25062656641604,1.43488176321745,4.70166077213033,4.65465015319789,-9.64494985674714
0.300751879699248,1.64024182984616,4.2032982089792,4.10926963075326,-9.75734307115732
0.350877192982456,1.84128863461061,3.71252384224458,3.7103829217069,-9.42907091113727
0.401002506265664,2.01169828784181,3.27126504569491,3.38652886201908,-8.77186604939221
0.451127819548872,2.17981618104437,2.83971577309559,2.98769167997087,-8.08590572829957
0.50125313283208,2.32264776720737,2.45146271631171,2.46407305211999,-7.34550982210253
0.551378446115288,2.42985961710639,2.11607336939703,2.02725445376879,-6.48736209280564
0.601503759398496,2.51909995009792,1.7817993503836,1.75345558594738,-5.69872021030401
0.651629072681704,2.58441322181368,1.55548564807984,1.55282130499263,-4.98386285758691
0.701754385964912,2.69086112430452,1.29470893130291,1.32959276903417,-4.37867696223217
0.75187969924812,2.7373733615643,1.10024464169066,1.08678202350297,-3.95700456664884
0.802005012531328,2.78425197437504,0.912520618869516,0.856484254829039,-3.45547542884321
0.852130325814536,2.81125107594321,0.739978306984315,0.73191516724851,-2.96741818256294
0.902255639097744,2.86169199624685,0.608856828312866,0.694168434746286,-2.64142501294726
0.952380952380952,2.89389972561735,0.495521561935549,0.549499187885305,-2.40846855010206
1.00250626566416,2.91284624882629,0.36525469647136,0.348678107331131,-2.31624622117146
1.05263157894737,2.92793939039583,0.258682482607126,0.197093352771691,-2.1828224192568
1.10275689223058,2.92568094918271,0.134835895037196,0.101493736432268,-2.04765750408358
1.15288220551378,2.94015838897119,0.0565600474894246,-0.00289492631686552,-1.98110437609896
1.20300751879699,2.93461849855307,-0.0442147451097537,-0.0951171207209423,-2.00844364509362
1.2531328320802,2.92387819640261,-0.158604904058437,-0.211230321820342,-2.12821550925794
1.30325814536341,2.91135118644859,-0.259026555571043,-0.304204211501214,-2.21101523436807
1.35338345864662,2.89633474567851,-0.38277811561162,-0.337670905243827,-2.30170733000802
1.40350877192982,2.8756831306461,-0.488564701023732,-0.416058598323264,-2.53794898342637
1.45363408521303,2.85346117239055,-0.623167832960565,-0.562602769676598,-2.82104073863305
1.50375939849624,2.82502171071063,-0.783117715170522,-0.751535622866885,-3.15702758798092
1.55388471177945,2.7782020577057,-0.946272593054551,-0.966651850541689,-3.55687196278523
1.60401002506266,2.72299566026759,-1.13133510598776,-1.18803050310065,-3.98290117218061
1.65413533834586,2.65970475713379,-1.34063510076666,-1.3630099569998,-4.50628378558105
1.70426065162907,2.58622822208135,-1.58991623863093,-1.57871937446914,-5.123242157018
1.75438596491228,2.50060288464636,-1.85703352458101,-1.90403952959371,-5.76866436858763
1.80451127819549,2.40478556768535,-2.16275479805642,-2.20669276013023,-6.51158990245477
1.8546365914787,2.27392271240049,-2.50937283228047,-2.50498148991573,-7.34896885118091
1.9047619047619,2.13936844531124,-2.89335720884118,-2.87006124432545,-8.2004934319413
1.95488721804511,2.0009998839604,-3.33765550951712,-3.2752336820174,-8.97784180198635
2.00501253132832,1.81697338328295,-3.79100305487469,-3.78020367578095,-9.54231639043078
2.05513784461153,1.61339887240806,-4.29020140099266,-4.40388755482569,-9.77963779445677
2.10526315789474,1.37944490852404,-4.77712808558287,-4.87302674117733,-9.58127412515237
2.15538847117794,1.12332081400165,-5.24683963122188,-5.19754258830089,-8.73754515196226
2.20551378446115,0.843148313813535,-5.66458671751184,-5.61946891066167,-7.30977923444241
2.25563909774436,0.579490396143927,-5.98084807040947,-5.93699511064133,-5.23889907490728
2.30576441102757,0.261149651714315,-6.18020545050005,-6.13725051078017,-2.51438725500204
2.35588972431078,-0.0698653465007048,-6.26154709504638,-6.25671641983962,0.434966686710671
2.40601503759398,-0.353534375759082,-6.1338434766914,-6.05516527892675,3.33248600842647
2.45614035087719,-0.673343482707289,-5.90071120376433,-5.77425718691471,5.91311478753051
2.5062656641604,-0.940730084561031,-5.54963710407064,-5.53371600361139,7.78072548979324
2.55639097744361,-1.20718306987016,-5.11900346708399,-5.12258316871636,9.01872533220163
2.60651629072682,-1.47747891437819,-4.63575465311186,-4.68646350640925,9.75098883036837
2.65664160401003,-1.67394930416632,-4.14991597253137,-4.19435832522925,9.80657457737763
2.70676691729323,-1.88346939925851,-3.64722535672579,-3.54750574878641,9.38957029070433
2.75689223057644,-2.04849601804518,-3.1940691747766,-3.08532721028114,8.73420528224632
2.80701754385965,-2.18763342571738,-2.79025722353397,-2.77414223999622,7.88456280726341
2.85714285714286,-2.30581723034542,-2.40755570240775,-2.46994493499565,7.02110123332435
2.90726817042607,-2.44417622071847,-2.07254034397658,-2.17979126095227,6.34050134111119
2.95739348370927,-2.54531593408719,-1.78470495360435,-1.86651240727615,5.61356979094476
3.00751879699248,-2.621848843388,-1.51571092610617,-1.51828488685364,4.92280821562389
3.05764411027569,-2.68194168769326,-1.27038655998168,-1.24479574338383,4.36067341206583
